"catalog","well","plate","letter","number","replicate","date","thermocycler","flag","notes","LCO_CFMRb","LCO_HCO","fwhF2_fwhR2","AJHFwd1_dR","fwhF2_HCO"
"CASENT9131119","B1","P5","B","1","P5_pcr.v2",2023-08-14,"#2","y","forgot to use magnet plate when transferring DNA, so some beads remained in wells; used two diff repeaters - some variation in mastermix dispensed into each well since the volumes are so small","y",NA,NA,NA,NA
"CASENT9130989","C1","P5","C","1","P5_pcr.v2",2023-08-14,"#2","y","forgot to use magnet plate when transferring DNA, so some beads remained in wells; used two diff repeaters - some variation in mastermix dispensed into each well since the volumes are so small","y",NA,NA,NA,NA
"CASENT9131127","D1","P5","D","1","P5_pcr.v2",2023-08-14,"#2","y","forgot to use magnet plate when transferring DNA, so some beads remained in wells; used two diff repeaters - some variation in mastermix dispensed into each well since the volumes are so small","y",NA,NA,NA,NA
"CASENT9131203","E1","P5","E","1","P5_pcr.v2",2023-08-14,"#2","y","forgot to use magnet plate when transferring DNA, so some beads remained in wells; used two diff repeaters - some variation in mastermix dispensed into each well since the volumes are so small","n",NA,NA,NA,NA
"CASENT9130992","F1","P5","F","1","P5_pcr.v2",2023-08-14,"#2","y","forgot to use magnet plate when transferring DNA, so some beads remained in wells; used two diff repeaters - some variation in mastermix dispensed into each well since the volumes are so small","n",NA,NA,NA,NA
"CASENT9131318","G1","P5","G","1","P5_pcr.v2",2023-08-14,"#2","y","forgot to use magnet plate when transferring DNA, so some beads remained in wells; used two diff repeaters - some variation in mastermix dispensed into each well since the volumes are so small","y",NA,NA,NA,NA
"CASENT9131141","H1","P5","H","1","P5_pcr.v2",2023-08-14,"#2","y","forgot to use magnet plate when transferring DNA, so some beads remained in wells; used two diff repeaters - some variation in mastermix dispensed into each well since the volumes are so small","y",NA,NA,NA,NA
"CASENT9131096","A2","P5","A","2","P5_pcr.v2",2023-08-14,"#2","y","forgot to use magnet plate when transferring DNA, so some beads remained in wells; used two diff repeaters - some variation in mastermix dispensed into each well since the volumes are so small","n",NA,NA,NA,NA
"CASENT9130997","B2","P5","B","2","P5_pcr.v2",2023-08-14,"#2","y","forgot to use magnet plate when transferring DNA, so some beads remained in wells; used two diff repeaters - some variation in mastermix dispensed into each well since the volumes are so small","y",NA,NA,NA,NA
"CASENT9131283","C2","P5","C","2","P5_pcr.v2",2023-08-14,"#2","y","forgot to use magnet plate when transferring DNA, so some beads remained in wells; used two diff repeaters - some variation in mastermix dispensed into each well since the volumes are so small","y",NA,NA,NA,NA
"CASENT9131098","D2","P5","D","2","P5_pcr.v2",2023-08-14,"#2","y","forgot to use magnet plate when transferring DNA, so some beads remained in wells; used two diff repeaters - some variation in mastermix dispensed into each well since the volumes are so small","n",NA,NA,NA,NA
"CASENT9131095","E2","P5","E","2","P5_pcr.v2",2023-08-14,"#2","y","forgot to use magnet plate when transferring DNA, so some beads remained in wells; used two diff repeaters - some variation in mastermix dispensed into each well since the volumes are so small","n",NA,NA,NA,NA
"CASENT9131027","F2","P5","F","2","P5_pcr.v2",2023-08-14,"#2","y","forgot to use magnet plate when transferring DNA, so some beads remained in wells; used two diff repeaters - some variation in mastermix dispensed into each well since the volumes are so small","n",NA,NA,NA,NA
"CASENT9131149","G2","P5","G","2","P5_pcr.v2",2023-08-14,"#2","y","forgot to use magnet plate when transferring DNA, so some beads remained in wells; used two diff repeaters - some variation in mastermix dispensed into each well since the volumes are so small","y",NA,NA,NA,NA
"CASENT9131026","H2","P5","H","2","P5_pcr.v2",2023-08-14,"#2","y","forgot to use magnet plate when transferring DNA, so some beads remained in wells; used two diff repeaters - some variation in mastermix dispensed into each well since the volumes are so small","y",NA,NA,NA,NA
"CASENT9131092","A3","P5","A","3","P5_pcr.v2",2023-08-14,"#2","y","forgot to use magnet plate when transferring DNA, so some beads remained in wells; used two diff repeaters - some variation in mastermix dispensed into each well since the volumes are so small","n",NA,NA,NA,NA
"CASENT9131102","B3","P5","B","3","P5_pcr.v2",2023-08-14,"#2","y","forgot to use magnet plate when transferring DNA, so some beads remained in wells; used two diff repeaters - some variation in mastermix dispensed into each well since the volumes are so small","y",NA,NA,NA,NA
"CASENT9131152","C3","P5","C","3","P5_pcr.v2",2023-08-14,"#2","y","forgot to use magnet plate when transferring DNA, so some beads remained in wells; used two diff repeaters - some variation in mastermix dispensed into each well since the volumes are so small","n",NA,NA,NA,NA
"CASENT9131099","D3","P5","D","3","P5_pcr.v2",2023-08-14,"#2","y","forgot to use magnet plate when transferring DNA, so some beads remained in wells; used two diff repeaters - some variation in mastermix dispensed into each well since the volumes are so small","n",NA,NA,NA,NA
"CASENT9131154","E3","P5","E","3","P5_pcr.v2",2023-08-14,"#2","y","forgot to use magnet plate when transferring DNA, so some beads remained in wells; used two diff repeaters - some variation in mastermix dispensed into each well since the volumes are so small","n",NA,NA,NA,NA
"CASENT9131079","F3","P5","F","3","P5_pcr.v2",2023-08-14,"#2","y","forgot to use magnet plate when transferring DNA, so some beads remained in wells; used two diff repeaters - some variation in mastermix dispensed into each well since the volumes are so small","y",NA,NA,NA,NA
"CASENT9131124","G3","P5","G","3","P5_pcr.v2",2023-08-14,"#2","y","forgot to use magnet plate when transferring DNA, so some beads remained in wells; used two diff repeaters - some variation in mastermix dispensed into each well since the volumes are so small","y",NA,NA,NA,NA
"CASENT9131289","H3","P5","H","3","P5_pcr.v2",2023-08-14,"#2","y","forgot to use magnet plate when transferring DNA, so some beads remained in wells; used two diff repeaters - some variation in mastermix dispensed into each well since the volumes are so small","y",NA,NA,NA,NA
