catalog,well,plate,letter,number,primer_f,primer_r,thermocycler,band,date,flag,notes,primers,evaporated,
23S797,H3,CDFA_P1,H,3,LCO,CFMRb,#6,n,2/5/2024,,,,,
23S738,A4,CDFA_P1,A,4,LCO,CFMRb,#6,y,2/5/2024,,,,,
23S476,B4,CDFA_P1,B,4,LCO,CFMRb,#6,y,2/5/2024,,,,,
23S472,C4,CDFA_P1,C,4,LCO,CFMRb,#6,y,2/5/2024,,,,,
23S759,D4,CDFA_P1,D,4,LCO,CFMRb,#6,y,2/5/2024,,,,,
23S768,E4,CDFA_P1,E,4,LCO,CFMRb,#6,y,2/5/2024,,,,,
23S783,F4,CDFA_P1,F,4,LCO,CFMRb,#6,y,2/5/2024,,,,,
23S789,G4,CDFA_P1,G,4,LCO,CFMRb,#6,n,2/5/2024,,,,,
23S798,H4,CDFA_P1,H,4,LCO,CFMRb,#6,n,2/5/2024,,,,,
23S739,A5,CDFA_P1,A,5,LCO,CFMRb,#6,n,2/5/2024,,,,,
23S477,B5,CDFA_P1,B,5,LCO,CFMRb,#6,y,2/5/2024,,,,,
23S484,C5,CDFA_P1,C,5,LCO,CFMRb,#6,y,2/5/2024,,,,,
23S474,D5,CDFA_P1,D,5,LCO,CFMRb,#6,y,2/5/2024,,,,,
23S769,E5,CDFA_P1,E,5,LCO,CFMRb,#6,n,2/5/2024,,,,,
23S782,F5,CDFA_P1,F,5,LCO,CFMRb,#6,y,2/5/2024,,,,,
23S790,G5,CDFA_P1,G,5,LCO,CFMRb,#6,n,2/5/2024,,,,,
23S805,H5,CDFA_P1,H,5,LCO,CFMRb,#6,n,2/5/2024,,,,,
23S740,A6,CDFA_P1,A,6,LCO,CFMRb,#6,y,2/5/2024,,,,,
23S463,B6,CDFA_P1,B,6,LCO,CFMRb,#6,y,2/5/2024,,,,,
23S529,C6,CDFA_P1,C,6,LCO,CFMRb,#6,y,2/5/2024,,,,,
23S760,D6,CDFA_P1,D,6,LCO,CFMRb,#6,y,2/5/2024,,,,,
23S770,E6,CDFA_P1,E,6,LCO,CFMRb,#6,y,2/5/2024,,,,,
23S531,F6,CDFA_P1,F,6,LCO,CFMRb,#6,y,2/5/2024,,,,,
23S791,G6,CDFA_P1,G,6,LCO,CFMRb,#6,y,2/5/2024,,,,,
23S806,H6,CDFA_P1,H,6,LCO,CFMRb,#6,n,2/5/2024,,,,,
23S741,A7,CDFA_P1,A,7,LCO,CFMRb,#6,y,2/5/2024,,,,,
23S466,B7,CDFA_P1,B,7,LCO,CFMRb,#6,y,2/5/2024,,,,,
23S681,C7,CDFA_P1,C,7,LCO,CFMRb,#6,y,2/5/2024,,,,,
23S761,D7,CDFA_P1,D,7,LCO,CFMRb,#6,y,2/5/2024,,,,,
23S771,E7,CDFA_P1,E,7,LCO,CFMRb,#6,y,2/5/2024,,,,,
23S785,F7,CDFA_P1,F,7,LCO,CFMRb,#6,n,2/5/2024,,,,,
23S792,G7,CDFA_P1,G,7,LCO,CFMRb,#6,n,2/5/2024,,,,,
23S807,H7,CDFA_P1,H,7,LCO,CFMRb,#6,n,2/5/2024,,,,,
23S742,A8,CDFA_P1,A,8,LCO,CFMRb,#6,y,2/5/2024,,,,,
23S755,B8,CDFA_P1,B,8,LCO,CFMRb,#6,n,2/5/2024,,,,,
23S682,C8,CDFA_P1,C,8,LCO,CFMRb,#6,n,2/5/2024,,,,,
23S468,D8,CDFA_P1,D,8,LCO,CFMRb,#6,y,2/5/2024,,,,,
23S777,E8,CDFA_P1,E,8,LCO,CFMRb,#6,y,2/5/2024,,,,,
23S784,F8,CDFA_P1,F,8,LCO,CFMRb,#6,n,2/5/2024,,,,,
23S793,G8,CDFA_P1,G,8,LCO,CFMRb,#6,n,2/5/2024,,,,,
23S808,H8,CDFA_P1,H,8,LCO,CFMRb,#6,n,2/5/2024,,,,,
23S652,A9,CDFA_P1,A,9,LCO,CFMRb,#6,y,2/5/2024,,,,,
23S470,B9,CDFA_P1,B,9,LCO,CFMRb,#6,y,2/5/2024,,,,,
23S686,C9,CDFA_P1,C,9,LCO,CFMRb,#6,y,2/5/2024,,,,,
23S764,D9,CDFA_P1,D,9,LCO,CFMRb,#6,y,2/5/2024,,,,,
23S778,E9,CDFA_P1,E,9,LCO,CFMRb,#6,y,2/5/2024,,,,,
23S469,F9,CDFA_P1,F,9,LCO,CFMRb,#6,y,2/5/2024,,,,,
23S794,G9,CDFA_P1,G,9,LCO,CFMRb,#6,n,2/5/2024,,,,,
23S809,H9,CDFA_P1,H,9,LCO,CFMRb,#6,n,2/5/2024,,,,,
23S812,A10,CDFA_P1,A,10,LCO,CFMRb,#6,n,2/5/2024,,,,,
23S815,B10,CDFA_P1,B,10,LCO,CFMRb,#6,y,2/5/2024,,,,,
23S817,C10,CDFA_P1,C,10,LCO,CFMRb,#6,y,2/5/2024,,,,,
23S820,D10,CDFA_P1,D,10,LCO,CFMRb,#6,n,2/5/2024,,,,,
23S828,E10,CDFA_P1,E,10,LCO,CFMRb,#6,y,2/5/2024,,,,,
23S834,F10,CDFA_P1,F,10,LCO,CFMRb,#6,y,2/5/2024,,,,,
23S824,G10,CDFA_P1,G,10,LCO,CFMRb,#6,n,2/5/2024,,,,,
23S837,H10,CDFA_P1,H,10,LCO,CFMRb,#6,y,2/5/2024,,,,,
23S811,A11,CDFA_P1,A,11,LCO,CFMRb,#6,n,2/5/2024,,,,,
